file,sheet,n_samples,n_features,saturation_ratio,cross_sheet_phase_mae,phase_levels,phase_step_median,phase_coverage,effective_cycles,backward_ratio
2026_1_26_unpr_data_8b876032__Sub_28_Seg_1_Aligned.xlsx,ultr_右股直肌_1,144,50,0.09194444444444444,0.0,53.0,0.018333000000000016,0.8750000000000007,5.925724637681157,0.0
2026_1_26_unpr_data_8b876032__Sub_28_Seg_1_Aligned.xlsx,ultr_右腓肠肌_2,144,50,0.15361111111111111,0.0,53.0,0.018333000000000016,0.8750000000000007,5.925724637681157,0.0
2026_1_26_unpr_data_8b876032__Sub_30_Seg_1_Aligned.xlsx,ultr_右股直肌_1,173,50,0.08774566473988439,0.0,42.0,0.023809999999999998,0.8610389610389614,8.123376623376622,0.0
2026_1_26_unpr_data_8b876032__Sub_30_Seg_1_Aligned.xlsx,ultr_右腓肠肌_2,173,50,0.14658959537572255,0.0,42.0,0.023809999999999998,0.8610389610389614,8.123376623376622,0.0
2026_1_26_unpr_data_8b876032__Sub_8_Seg_1_Aligned.xlsx,ultr_右股直肌_1,150,50,0.07893333333333333,0.0,26.0,0.04,0.8799999999999999,5.961666666666666,0.0
2026_1_26_unpr_data_8b876032__Sub_8_Seg_1_Aligned.xlsx,ultr_右腓肠肌_2,150,50,0.037333333333333336,0.0,26.0,0.04,0.8799999999999999,5.961666666666666,0.0
2026_1_26_unpr_data_8b876032__Sub_9_Seg_1_Aligned.xlsx,ultr_右股直肌_1,175,50,0.07577142857142857,0.0,52.0,0.018518999999999952,0.888888888888889,6.648148148148147,0.0
2026_1_26_unpr_data_8b876032__Sub_9_Seg_1_Aligned.xlsx,ultr_右腓肠肌_2,175,50,0.03988571428571429,0.0,52.0,0.018518999999999952,0.888888888888889,6.648148148148147,0.0
raw_data_a4ef56fc__Sub_10_Seg_1_Aligned.xlsx,ultr_右腓肠肌_2,94,50,0.010851063829787235,0.0,21.0,0.047618999999999995,0.8571428571428574,4.428571428571428,0.0
raw_data_a4ef56fc__Sub_10_Seg_1_Aligned.xlsx,ultr_右股直肌_3,94,50,0.013829787234042552,0.0,21.0,0.047618999999999995,0.8571428571428574,4.428571428571428,0.0
raw_data_a4ef56fc__Sub_11_Seg_1_Aligned.xlsx,ultr_右腓肠肌_2,92,50,0.011739130434782608,0.0,21.0,0.047618999999999995,0.8571428571428573,4.333333333333333,0.0
raw_data_a4ef56fc__Sub_11_Seg_1_Aligned.xlsx,ultr_右股直肌_3,92,50,0.022391304347826088,0.0,21.0,0.047618999999999995,0.8571428571428573,4.333333333333333,0.0
raw_data_a4ef56fc__Sub_11_Seg_2_Aligned.xlsx,ultr_右腓肠肌_2,108,50,0.010555555555555556,0.0,20.0,0.04999999999999999,0.8500000000000006,5.349999999999999,0.0
raw_data_a4ef56fc__Sub_11_Seg_2_Aligned.xlsx,ultr_右股直肌_3,108,50,0.01888888888888889,0.0,20.0,0.04999999999999999,0.8500000000000006,5.349999999999999,0.0
raw_data_a4ef56fc__Sub_18_Seg_1_Aligned.xlsx,ultr_右腓肠肌_2,200,50,0.0094,0.0,80.0,0.009804000000000035,0.8755952380952386,8.976190476190474,0.0
raw_data_a4ef56fc__Sub_18_Seg_1_Aligned.xlsx,ultr_右股直肌_3,200,50,0.1735,0.0,80.0,0.009804000000000035,0.8755952380952386,8.976190476190474,0.0
