subject,n_trials,mean_trial_mae,mean_trial_mae_before_lag,mean_abs_lag,mean_edge_mae,mean_jump_rate,mean_spike_ratio
15,1,0.3632798492908478,0.3632798492908478,6.0,0.3631017804145813,0.0,0.12048192771084337
11,1,0.24379467964172363,0.24379467964172363,6.0,0.2401164323091507,0.0,0.0
19,2,0.21251650154590607,0.21251650154590607,4.0,0.2320239618420601,0.0,0.13966887417218543
25,1,0.20310024917125702,0.20310024917125702,3.0,0.21243411302566528,0.0,0.13513513513513514
21,2,0.1942700445652008,0.1942700445652008,4.5,0.18569475412368774,0.0,0.0
24,1,0.1890297532081604,0.1890297532081604,3.0,0.19198261201381683,0.0,0.0
12,1,0.14659495651721954,0.14659495651721954,1.0,0.12919561564922333,0.0,0.0
26,1,0.13906098902225494,0.13906098902225494,3.0,0.14233174920082092,0.0,0.0
18,2,0.13684109970927238,0.13684109970927238,1.0,0.14584137126803398,0.0625,0.42656594922737306
20,1,0.12940770387649536,0.12940770387649536,0.0,0.12370996177196503,0.0,0.12727272727272726
23,1,0.12880299985408783,0.12880299985408783,1.0,0.140639066696167,0.0821917808219178,0.0821917808219178
17,1,0.1264246702194214,0.1264246702194214,0.0,0.14331474900245667,0.0,0.136
28,1,0.12085462361574173,0.12085462361574173,3.0,0.11609774827957153,0.0,0.0
9,1,0.1061258316040039,0.1061258316040039,1.0,0.10598979890346527,0.0,0.0
13,1,0.09874862432479858,0.09874862432479858,0.0,0.10279404371976852,0.0,0.0
8,1,0.09828700125217438,0.09828700125217438,0.0,0.09781904518604279,0.0,0.0
10,1,0.08920570462942123,0.08920570462942123,1.0,0.08939313888549805,0.0,0.0
22,1,0.08309365063905716,0.08309365063905716,2.0,0.10230514407157898,0.0,0.0
16,1,0.04642290621995926,0.04642290621995926,0.0,0.042813658714294434,0.0,0.0
30,1,0.041338175535202026,0.041338175535202026,1.0,0.04697246104478836,0.0,0.0
