fold,trial_name,subject,domain,strategy,strategy_composite_score,quality_weight,saturation_ratio,phase_coverage,effective_cycles,n_raw_frames,n_eval_sequences,trial_mae,trial_mae_before_lag,trial_mae_no_lag,trial_mae_oracle_lag,lag_shift,jump_rate,spike_ratio,edge_mae,slope_mae
3,2026_1_26_unpr_data_8b876032__Sub_15_Seg_1_Aligned.csv,15,2026_1_26_unpr_data_8b876032,perfect_sawtooth,0.4249021756657994,0.7421590909090909,0.12340909090909091,0.8571428571429492,6.238095238095237,132,84,0.3632798492908478,0.3632798492908478,0.3632798492908478,0.19192638993263245,6,0.0,0.12048192771084337,0.3631017804145813,0.014162036590278149
3,2026_1_26_unpr_data_8b876032__Sub_26_Seg_1_Aligned.csv,26,2026_1_26_unpr_data_8b876032,perfect_sawtooth,0.16096502035856247,0.87,0.1166025641025641,0.8773755821546677,7.041501976284586,156,108,0.13906098902225494,0.13906098902225494,0.13906098902225494,0.07674078643321991,3,0.0,0.0,0.14233174920082092,0.00692836195230484
3,2026_1_26_unpr_data_8b876032__Sub_13_Seg_1_Aligned.csv,13,2026_1_26_unpr_data_8b876032,perfect_sawtooth,0.11465379294008016,0.8771929824561403,0.11187134502923976,0.8761185739787843,7.403726708074534,171,123,0.09874862432479858,0.09874862432479858,0.09874862432479858,0.09874862432479858,0,0.0,0.0,0.10279404371976852,0.006075775716453791
3,2026_1_26_unpr_data_8b876032__Sub_10_Seg_1_Aligned.csv,10,2026_1_26_unpr_data_8b876032,perfect_sawtooth,0.10293544691056013,1.0,0.05738372093023256,0.875551952350155,7.42885375494071,172,124,0.08920570462942123,0.08920570462942123,0.08920570462942123,0.08041902631521225,-1,0.0,0.0,0.08939313888549805,0.004009643103927374
