fold,trial_name,subject,domain,strategy,strategy_composite_score,quality_weight,saturation_ratio,phase_coverage,effective_cycles,n_raw_frames,n_eval_sequences,trial_mae,trial_mae_before_lag,trial_mae_no_lag,trial_mae_oracle_lag,lag_shift,jump_rate,spike_ratio,edge_mae,slope_mae
4,raw_data_a4ef56fc__Sub_25_Seg_1_Aligned.csv,25,raw_data_a4ef56fc,anchor_sync,0.24236873068318174,0.874,0.07725,0.8853412533629711,7.490476190476187,160,112,0.20310024917125702,0.20310024917125702,0.20310024917125702,0.14854863286018372,-3,0.0,0.13513513513513514,0.21243411302566528,0.008082597516477108
4,2026_1_26_unpr_data_8b876032__Sub_18_Seg_1_Aligned.csv,18,2026_1_26_unpr_data_8b876032,anchor_sync,0.260200650220116,0.7082758620689655,0.11986206896551724,0.9169469330233029,7.98888888888889,145,97,0.18689697980880737,0.18689697980880737,0.18689697980880737,0.18689697980880737,0,0.125,0.7604166666666666,0.18740616738796234,0.011523899622261524
4,2026_1_26_unpr_data_8b876032__Sub_8_Seg_1_Aligned.csv,8,2026_1_26_unpr_data_8b876032,anchor_sync,0.1132514727115631,1.0,0.058133333333333335,0.8804119915219119,5.961666666666665,150,102,0.09828700125217438,0.09828700125217438,0.09828700125217438,0.09828700125217438,0,0.0,0.0,0.09781904518604279,0.0036451835185289383
4,raw_data_a4ef56fc__Sub_18_Seg_1_Aligned.csv,18,raw_data_a4ef56fc,anchor_sync,0.10774195125758253,0.82,0.09145,0.8963467654808042,8.976190476190474,200,152,0.0867852196097374,0.0867852196097374,0.0867852196097374,0.053089190274477005,2,0.0,0.09271523178807947,0.10427657514810562,0.008493547327816486
4,2026_1_26_unpr_data_8b876032__Sub_22_Seg_1_Aligned.csv,22,2026_1_26_unpr_data_8b876032,anchor_sync,0.09887642104178666,0.8978034682080925,0.1130635838150289,0.8800306170272149,6.923478260869566,173,125,0.08309365063905716,0.08309365063905716,0.08309365063905716,0.06059727445244789,-2,0.0,0.0,0.10230514407157898,0.005462484899908304
